Page Name,PageLabelId,Page Label Name,ValueRT,Value,Storefront
All,AWAITED_WIRETRANSFER_INFOGlobalAll,AWAITED_WIRETRANSFER_INFO,Awaiting wire transfer payment instructions.,,Global
All,Certificate_Tax_Authority_RequiredGlobalAll,Certificate_Tax_Authority_Required,Exemption Certificate Tax Authority Required,,Global
All,DR_Tax_Certificate_Company_HeaderGlobalAll,DR_Tax_Certificate_Company_Header,Company,,Global
All,companyNameErrorMessageGlobalAll,companyNameErrorMessage,Company Name is Required,,Global
All,Company_NameGlobalAll,Company_Name,Company Name : *,,Global
All,Company_Name_LimitGlobalAll,Company_Name_Limit,Company Name Less then 70 Character.,,Global
All,Company_Name_RequiredGlobalAll,Company_Name_Required,Company Name Required,,Global
All,Country_NameGlobalAll,Country_Name,Country Name : *,,Global
All,Display_Certificate_Link_CCGlobalAll,Display_Certificate_Link_CC,Click here If you are making a tax exempt purchase,,Global
All,DR_Address_Missing_Error_MessageGlobalAll,DR_Address_Missing_Error_Message,Default billing address is not set.,,Global
All,DR_API_KEY_ERRORGlobalAll,DR_API_KEY_ERROR,Unable to get api key from server.,,Global
All,DR_CARD_NAME_REQUIREDGlobalAll,DR_CARD_NAME_REQUIRED,Card Name Required for Saved Payment.,,Global
All,DR_CHECKOUT_SUBSCRIPTION_ERRORGlobalAll,DR_CHECKOUT_SUBSCRIPTION_ERROR,Please select Save Payment to continue or select a saved payment method from your wallet.,,Global
All,DR_error_message_for_paymentsGlobalAll,DR_error_message_for_payments,Failed to get source Id.,,Global
All,DR_Failed_to_add_payment_methodsGlobalAll,DR_Failed_to_add_payment_methods,Unable to save card to wallet.,,Global
All,DR_INTERNET_CONNECTIONGlobalAll,DR_INTERNET_CONNECTION,Check your internet connection.,,Global
All,DR_NICK_NAME_MISSINGGlobalAll,DR_NICK_NAME_MISSING,Nick Name Required for Saved Payment.,,Global
All,DR_PAYPAL_AUTHORIZEDGlobalAll,DR_PAYPAL_AUTHORIZED,Paypal Payment is successfully authorized.Now You will be redirected to Order Confirmation Page.,,Global
All,DR_Process_PaymentsGlobalAll,DR_Process_Payments,Place Order,,Global
All,DR_SELECT_SAVE_PAYMENT_OPTIONGlobalAll,DR_SELECT_SAVE_PAYMENT_OPTION,You have a subscription product in your cart. So It is required to select the Save Payment option for future payments.,,Global
All,DR_SERVER_PAYMENT_FAILEDGlobalAll,DR_SERVER_PAYMENT_FAILED,There are problems processing your payment. Please validate your information or contact. Ergotron at 1-800-888-8458 for assistance.,,Global
